<camA> <camB> <time> <dist> <route>
10 17 6 61 yvkbG`llhPrAl@P@
10 17 6 61 sskbGpmlhPMQu@Y_@O
16 17 0 0 n/a
16 18 7 80 iykbGxilhPF^PvA?bA
16 18 8 84 oxkbGtolhPNo@OaBKo@
16 28 221 1909 g~kbGn}khPzA~DXr@V~@Ft@N~@PvA@|@QfACl@AxEBx@zAzJTxD^xFRhEt@dLZxExAdVNdCCV@hBCBCBENANDLHHJBLEBC`@O`@SLOv@IGz@MfAa@fAu@nBUqCCcAAE
17 10 6 61 yvkbG`llhPrAl@P@
17 10 6 61 sskbGpmlhPMQu@Y_@O
17 16 0 0 n/a
17 18 0 0 n/a
18 16 8 84 oxkbGtolhPNo@OaBKo@
18 16 7 80 iykbGxilhPF^PvA?bA
18 17 0 0 n/a
18 19 8 88 {xkbGr|lhPIq@@wA?kA
19 18 8 88 {xkbGr|lhPIq@@wA?kA
19 20 0 0 n/a
20 19 0 0 n/a
20 21 4 52 swkbGramhPZxB
21 20 4 52 swkbGramhPZxB
21 22 13 157 qtkbGxtmhPg@oIEi@
21 23 13 157 qtkbGxtmhPg@oIEi@
22 21 13 157 qtkbGxtmhPg@oIEi@
22 23 0 0 n/a
22 24 6 56 wskbGj|mhPPdC
22 25 6 56 wskbGj|mhPPdC
22 26 6 56 wskbGj|mhPPdC
23 21 13 157 qtkbGxtmhPg@oIEi@
23 22 0 0 n/a
23 24 0 0 n/a
23 25 0 0 n/a
23 26 0 0 n/a
24 22 6 56 wskbGj|mhPPdC
24 23 0 0 n/a
24 25 0 0 n/a
24 25 27 185 qskbGhbnhPPCXrEZnE
24 26 0 0 n/a
24 26 27 185 qskbGhbnhPPCXrEZnE
24 26 40 179 qskbGhbnhPPCXrEVrDID
25 22 6 56 wskbGj|mhPPdC
25 23 0 0 n/a
25 24 27 185 qskbGhbnhPPCXrEZnE
25 26 0 0 n/a
25 27 19 216 iokbGn_ohP_AeO
26 22 6 56 wskbGj|mhPPdC
26 23 0 0 n/a
26 24 27 185 qskbGhbnhPPCXrEZnE
26 24 40 179 qskbGhbnhPPCXrEVrDID
26 25 0 0 n/a
26 27 19 216 iokbGn_ohP_AeO
26 27 13 128 iokbGn_ohPa@kGC[GB
26 27 16 119 iokbGn_ohPa@kGFJ
26 27 28 216 _qkbGronhPI?XrE`@hGB\
27 25 19 216 iokbGn_ohP_AeO
27 26 19 216 iokbGn_ohP_AeO
27 26 13 128 iokbGn_ohPa@kGC[GB
27 26 16 119 iokbGn_ohPa@kGFJ
27 26 28 216 _qkbGronhPI?XrE`@hGB\
27 28 0 0 n/a
28 16 221 1909 g~kbGn}khPzA~DXr@V~@Ft@N~@PvA@|@QfACl@AxEBx@zAzJTxD^xFRhEt@dLZxExAdVNdCCV@hBCBCBENANDLHHJBLEBC`@O`@SLOv@IGz@MfAa@fAu@nBUqCCcAAE
28 27 0 0 n/a
28 29 15 146 wkkbGz|ohPc@cGAi@Eo@
28 29 28 220 cmkbG|qohPC]@ABC^M`@SLOdBO~@KPA?B?FBD@BUn@M^
28 29 20 156 ujkbGloohPBEv@I~@I~@K?FBNMd@Sh@
28 29 15 150 {mkbG|qohPPt@JR@Nb@bG
28 29 41 303 wekbGnqohPb@mAB@D@HAFI@OEMIGKBEJSFeDZoADAACCQGMDGLANBNFHH^
29 28 15 146 wkkbGz|ohPc@cGAi@Eo@
29 28 15 150 {mkbG|qohPPt@JR@Nb@bG
29 28 28 220 cmkbG|qohPC]@ABC^M`@SLOdBO~@KPA?B?FBD@BUn@M^
29 28 20 156 ujkbGloohPBEv@I~@I~@K?FBNMd@Sh@
29 28 41 303 wekbGnqohPb@mAB@D@HAFI@OEMIGKBEJSFeDZoADAACCQGMDGLANBNFHH^
29 34 19 208 kokbGliphPcB|Eq@dCMjAAP
33 34 0 0 n/a
33 35 0 0 n/a
33 36 0 0 n/a
34 29 19 208 kokbGliphPcB|Eq@dCMjAAP
34 33 0 0 n/a
34 35 0 0 n/a
34 36 8 53 yukbGdeqhPGWAi@F}@
35 34 0 0 n/a
35 36 0 0 n/a
36 33 0 0 n/a
36 34 8 53 yukbGdeqhPGWAi@F}@
36 35 0 0 n/a
