waypoints ID	direction	ID	direction 	ID	direction	ID	direction	ID	direction	ID	direction	ID	direction 	ID	direction	ID	direction	ID	direction	ID
0    	0    	1    	1    	1    	0    	6    	1    	5    	0    	11    	1    	11    	0    	12    	1    	12    	0    	19    	1    	18    
1    	0    	2    	1    	2    	0    	5    	1    	6    	0    	8    	1    	8    	0    	14    	1    	15    	0    	17    	1    	17    
2    	0    	0    	0    	7    	0    	9    	0    	10    	0    	18    										
102    	1    	0    	1    	7    	1    	10    	1    	13    	1    	19    										
3    	0    	3    	0    	4    	0    	10    	0    	13    	0    	16    										
103    	1    	3    	1    	4    	1    	9    	1    	14    	1    	16    										
4    	0    	21    	0    	26    	0    	28    	0    	35    												
104    	1    	22    	1    	27    	1    	28    	1    	33    												
5    	0    	20    	1    	20    	0    	26    	1    	26    	0    	30    	1    	29    	0    	34    	1    	36    				
6    	0    	22    	1    	23    	0    	27    	1    	25    	0    	29    	1    	30    	1    	32    	0    	32    	1    	34    		
7    	0    	23    	0    	24    	0    	31    	0    	33    												
107    	1    	21    	1    	24    	1    	31    	1    	35    												
8    	0    	37    	1    	39    																
9    	0    	39    	1    	40    																
10    	0    	38    	1    	38    	0    	42    	1    	43    												
11    	0    	36    	1    	37    																
13    	0    	43    	1    	44    																
15    	0    	40    	1    	41    	0    	46    	1    	47    												
16    	0    	44    	1    	46    	0    	51    	1    	52    												
17    	0    	48    	1    	49    																
18    	0    	50    	1    	51    	0    	58    	1    	57    												
19    	0    	49    	1    	50    																
20    	0    	53    	1    	55    																
21    	0    	54    	1    	56    																
22    	0    	55    	1    	53    																
23    	0    	52    	1    	54    																
25    	0    	60    	1    	61    																
26    	0    	57    	1    	59    																
27    	0    	63    	1    	62    																
28    	0    	66    	0    	61    																
128    	1    	67    	1    	63    																
30    	0    	66    	1    	65    	1    	64    	0    	62    												
31    	0    	66    	1    	67    	0    	61    	1    	63    												
32    	0    	62    	1    	64    	0    	64    														
132    	0    	61    	1    	63    	1    	65    														
33    	0    	67    	1    	68    	0    	72    	1    	72    												
34    	0    	68    	1    	69    																
35    																				
36    	0    	70    	1    	71    																
37    	0    	71    	1    	73    																
39    	0    	69    	1    	70    																
40    	0    	74    	1    	75    																
41    	0    	73    	1    	74    	0    	77    	1    	76    												
42    	0    	75    	1    	77    																
43    	0    	79    	1    	81    																
44    	0    	80    	1    	80    	0    	83    	1    	84    												
200    	0    	81    	1    	82    																
201    																				
202    	0    	78    	1    	79    																
45    	0    	82    	1    	83    	0    	87    	1    	88    	0    	84    	1    	86    	1    	91    	0    	90    				
203    	0    	86    	1    	87    	0    	91    	1    	92    												
46    	0    	100    	1    	101    	0    	94    	1    	94    												
47    	0    	93    	1    	95    	0    	88    	1    	89    												
204    																				
205    	0    	95    	1    	98    																
206    	0    	97    	1    	93    																
207    	0    	96    	1    	97    																
48    	0    	104    	1    	99    																
148    	1    	105    	0    	98    																
49    	0    	99    	1    	100    																
50    	0    	97    	1    	98    																
51    																				
52    	0    	102    																		
152    	1    	103    																		
208    	1    	104    																		
209    	0    	103    																		
210    	0    	101    	1    	102    																
53    	0    	107    	1    	108    																
54    	0    	106    	1    	106    	0    	110    	1    	111    												
211    	0    	105    	1    	107    																
212    	0    	108    	1    	109    																
213    																				
214    																				
55    	0    	111    	1    	112    																
56    	0    	109    	1    	110    																
57    	0    	112    	1    	113    	0    	113    	1    	114    												
58    	0    	114    	1    	115    	0    	115    	1    	116    												
59    	0    	123    	1    	124    	0    	124    	1    	125    												
60    	0    	116    	1    	117    	0    	119    	1    	119    	1    	121    	1    	122    								
61    	0    	120    	1    	112    	0    	126    	1    	127    												
62    	0    	118    	1    	120    	0    	125    	1    	126    	0    	130    	1    	128    	0    	132    	1    	134    				
63    	0    	128    	1    	130    	0    	136    	1    	137    	0    	133    	1    	133    								
64    	0    	129    	1    	131    																
65    	0    	143    	1    	143    	0    	140    	1    	141    	0    	138    	1    	140    	0    	134    	1    	135    				
66    	0    	142    	1    	139    																
67    	0    	141    	1    	142    																
